Time		Ax		Ay		Az
0.06250810623168945		-5.45		4.20		7.23
0.07813215255737305		-5.37		4.22		7.30
0.09403157234191895		-5.42		4.20		7.20
0.12496590614318848		-5.45		4.25		7.23
0.14082956314086914		-5.45		4.24		7.26
0.1719369888305664		-5.39		4.25		7.21
0.21916770935058594		-5.41		4.26		7.25
0.23435282707214355		-5.46		4.19		7.21
0.2659575939178467		-5.47		4.20		7.21
0.3125174045562744		-5.44		4.21		7.24
0.3283395767211914		-5.42		4.24		7.23
0.35968613624572754		-5.44		4.25		7.26
0.39085936546325684		-5.39		4.21		7.24
0.4220421314239502		-5.41		4.26		7.34
0.48441195487976074		-5.47		4.29		7.25
0.5000045299530029		-5.42		4.25		7.15
0.5312917232513428		-5.43		4.16		7.17
0.5625102519989014		-5.37		4.26		7.17
0.5938026905059814		-5.36		4.26		7.14
0.625016450881958		-5.55		4.08		7.28
0.656320333480835		-5.50		4.34		7.33
0.6875228881835938		-5.44		4.67		7.28
0.7187764644622803		-5.20		4.78		7.54
0.7500669956207275		-6.02		5.17		7.81
0.7813200950622559		-6.14		5.61		7.65
0.8125367164611816		-4.28		5.93		5.94
0.8438239097595215		-4.79		6.44		6.25
0.8907101154327393		-5.12		3.87		5.57
0.9063417911529541		-4.34		2.72		6.93
0.9532115459442139		-2.73		1.01		6.19
0.9844346046447754		-3.45		2.41		7.29
1.015681505203247		-5.22		4.68		9.23
1.0469703674316406		-5.38		6.32		10.29
1.0781893730163574		-5.39		5.14		9.07
1.0938153266906738		-5.64		3.33		7.84
1.1250691413879395		-5.79		4.86		6.67
1.156367540359497		-5.98		5.31		4.92
1.187577724456787		-5.96		6.36		4.39
1.2188403606414795		-5.22		7.67		3.57
1.2345807552337646		-5.82		8.02		3.06
1.2657105922698975		-6.93		5.42		3.03
1.296964168548584		-7.81		5.06		3.25
1.3282155990600586		-6.76		6.61		2.02
1.3594698905944824		-5.55		8.18		0.37
1.3907804489135742		-4.64		8.51		0.00
1.4219748973846436		-3.22		8.61		1.95
1.4532310962677002		-4.87		9.84		-0.22
1.4844825267791748		-6.76		7.53		-4.16
1.5626153945922852		-5.14		8.30		-1.38
1.6251213550567627		-2.23		10.27		0.77
1.6564185619354248		-2.12		10.06		-0.80
1.6720030307769775		-6.01		7.97		0.17
1.7032806873321533		-5.86		8.95		-1.54
1.7345104217529297		0.23		9.82		-3.78
1.765763759613037		-2.96		10.38		-0.82
1.7970502376556396		-4.60		8.58		-2.34
1.8126437664031982		-3.06		9.37		-2.24
1.843895673751831		-0.35		9.54		-0.92
1.8751838207244873		-3.93		9.89		-2.39
1.906416416168213		-5.07		9.75		-2.74
1.9220285415649414		0.65		9.96		-2.28
1.9532959461212158		-1.63		9.41		-2.64
1.9845356941223145		-0.94		9.15		-2.14
2.0157885551452637		-0.46		10.11		-1.96
2.04704213142395		-1.77		10.25		-3.37
2.0783352851867676		-1.36		8.92		-2.55
2.0939228534698486		-1.87		8.93		-3.17
2.1252100467681885		-0.97		9.72		-6.47
2.172098159790039		0.27		9.91		-3.35
2.187682867050171		0.58		9.77		-3.29
2.2189435958862305		0.25		8.18		-4.32
2.2501885890960693		1.86		8.23		-6.43
2.2814416885375977		0.82		7.87		-6.05
2.312730073928833		0.07		10.17		-3.78
2.328356981277466		0.26		10.24		-4.95
2.35957670211792		1.08		11.01		-2.03
2.39082670211792		0.13		11.01		1.82
2.4220800399780273		1.64		10.36		-0.15
2.453369379043579		1.36		11.25		-5.41
2.5002150535583496		2.09		11.29		-10.11
2.5315234661102295		2.24		10.66		-8.16
2.5627214908599854		2.83		10.30		-6.06
2.5940101146698		1.74		9.52		-5.90
2.6252288818359375		1.19		9.55		-5.73
2.640855312347412		0.45		9.59		-5.53
2.6877336502075195		-0.18		10.05		-5.12
2.7189884185791016		-0.56		9.92		-5.00
2.7502782344818115		-0.33		9.08		-5.47
2.7815299034118652		-0.55		9.46		-5.35
2.8127479553222656		-0.54		9.15		-4.89
2.844036102294922		-0.85		8.33		-4.40
2.875288963317871		-1.10		8.19		-3.84
2.9065701961517334		-0.85		8.34		-3.59
2.9377598762512207		-0.93		7.75		-3.11
2.9690494537353516		-1.08		7.77		-2.92
2.9846413135528564		-1.12		7.81		-2.95
3.0315206050872803		-1.32		7.94		-2.93
3.062811851501465		-1.50		7.99		-2.96
3.094029426574707		-1.60		8.26		-2.94
3.12528133392334		-1.62		8.36		-2.89
3.1565346717834473		-1.57		8.62		-2.78
3.187786340713501		-1.62		8.75		-2.81
3.219076633453369		-1.54		9.04		-3.12
3.2502942085266113		-1.51		9.18		-3.31
3.281547784805298		-1.89		9.15		-3.37
3.312802314758301		-2.02		9.54		-3.49
3.344055414199829		-2.12		10.09		-3.76
3.3753418922424316		-2.21		10.09		-3.92
3.4066035747528076		-2.28		10.02		-3.84
3.4534759521484375		-2.02		10.26		-3.67
3.484693765640259		-1.92		10.22		-3.45
3.5159475803375244		-1.78		10.17		-3.34
3.5628294944763184		-1.87		10.02		-3.05
3.578469753265381		-1.76		9.96		-2.95
3.6253321170806885		-1.77		9.81		-2.92
3.6566221714019775		-1.64		9.80		-3.03
3.6878390312194824		-1.58		9.81		-2.94
3.719137668609619		-1.47		9.76		-2.86
3.7347209453582764		-1.37		9.71		-2.82
