Time		Ax		Ay		Az
0.04688072204589844		-8.41		2.88		4.65
0.10938572883605957		-8.49		2.80		4.59
0.10938572883605957		-8.46		2.75		4.59
0.14064407348632812		-8.43		2.81		4.49
0.15627479553222656		-8.40		2.82		4.51
0.18783903121948242		-8.39		2.79		4.67
0.21877431869506836		-8.38		2.82		4.62
0.250255823135376		-8.29		2.88		4.70
0.2812814712524414		-8.38		2.85		4.67
0.2973148822784424		-8.47		2.81		4.55
0.32844090461730957		-8.30		2.95		4.44
0.35971641540527344		-8.15		2.95		4.67
0.3908965587615967		-8.12		2.79		4.80
0.4219181537628174		-8.21		2.87		4.90
0.48445820808410645		-8.35		2.80		4.76
0.5313005447387695		-8.45		2.67		4.49
0.5469632148742676		-8.45		2.68		4.25
0.5782208442687988		-8.15		2.82		4.00
0.609466552734375		-7.83		3.00		4.58
0.6407217979431152		-7.73		3.86		5.22
0.6563758850097656		-8.65		4.59		6.37
0.6875717639923096		-9.36		3.54		4.54
0.7188196182250977		-9.45		3.67		2.94
0.7500739097595215		-9.61		2.51		1.77
0.7813262939453125		-10.34		1.04		1.32
0.812579870223999		-10.86		1.37		2.22
0.8438329696655273		-10.03		2.89		3.30
0.8751206398010254		-9.91		3.63		3.67
0.9063444137573242		-8.98		3.78		3.76
0.9375910758972168		-6.75		7.21		3.26
0.9688460826873779		-6.09		8.74		3.29
1.0157268047332764		-5.99		6.57		4.66
1.0469799041748047		-6.57		5.79		4.27
1.078233003616333		-7.26		4.71		4.10
1.1094856262207031		-7.15		4.67		4.98
1.1407732963562012		-6.09		5.30		4.48
1.1563971042633057		-4.65		4.99		4.05
1.187617540359497		-4.27		6.08		5.08
1.2188720703125		-9.86		7.41		7.77
1.2501258850097656		-6.69		5.71		9.89
1.2814102172851562		-1.97		5.12		3.82
1.3126673698425293		1.09		5.12		2.61
1.3282930850982666		-3.59		7.73		5.03
1.375138521194458		-9.86		13.47		13.21
1.4064295291900635		-2.49		8.23		-5.59
1.4376447200775146		-1.39		12.50		0.37
1.4688985347747803		-5.67		9.61		4.51
1.500187635421753		-5.99		5.90		2.73
1.578284740447998		-2.27		10.79		-0.16
1.6408698558807373		-2.14		9.97		1.76
1.6721220016479492		-4.37		8.89		1.04
1.7033436298370361		-3.71		10.09		-4.08
1.7189269065856934		-3.96		9.49		-3.06
1.7501802444458008		-3.85		9.64		-1.23
1.7814321517944336		-4.04		9.75		-2.82
1.8126864433288574		-1.78		9.38		-0.92
1.8283121585845947		-1.61		9.71		-1.04
1.8595671653747559		-3.18		8.88		-2.62
1.8908190727233887		-2.63		9.28		-2.10
1.9220728874206543		-2.13		9.77		-3.28
1.9533274173736572		-2.96		10.17		-3.84
1.9689536094665527		-1.10		8.96		-3.50
2.000206470489502		-0.43		9.66		-2.92
2.031458616256714		-3.69		8.97		-4.18
2.0627124309539795		-1.74		10.19		-4.69
2.078338861465454		-1.62		10.17		-5.08
2.109600305557251		-2.85		7.91		-0.69
2.140845537185669		-1.23		11.23		-0.23
2.1877245903015137		-1.36		10.64		-0.44
2.2189784049987793		0.99		11.27		-2.50
2.2502312660217285		2.35		11.54		-3.32
2.281485080718994		3.97		10.30		-6.26
2.2971134185791016		2.83		11.85		-6.42
2.3283658027648926		1.56		11.19		-6.40
2.3596177101135254		1.46		9.29		-6.52
2.390871524810791		2.62		10.38		-6.08
2.4222631454467773		1.86		8.70		-5.32
2.4377505779266357		0.90		8.92		-5.21
2.4690053462982178		0.81		8.54		-4.03
2.5002589225769043		0.33		7.81		-4.53
2.5315117835998535		-0.31		7.87		-3.88
2.56280517578125		-0.91		8.54		-3.34
2.5940186977386475		-0.54		8.64		-3.94
2.625271797180176		-0.61		8.42		-4.52
2.6565253734588623		-1.14		8.55		-5.32
2.6877779960632324		-1.64		8.11		-5.18
2.7190768718719482		-1.19		8.37		-5.01
2.750319719314575		-1.07		8.11		-4.19
2.7815370559692383		-1.64		8.17		-3.72
2.828446865081787		-1.97		8.60		-3.71
2.8597066402435303		-1.62		9.24		-4.02
2.8909599781036377		-1.81		9.34		-3.71
2.9221913814544678		-1.60		9.53		-3.29
2.9534316062927246		-1.52		9.82		-2.60
2.9846842288970947		-2.25		9.34		-3.53
3.015937566757202		-2.34		9.02		-3.03
3.0471911430358887		-2.09		8.90		-3.49
3.078443765640259		-2.05		9.55		-3.05
3.1096980571746826		-1.76		9.18		-3.28
3.1409859657287598		-2.05		8.67		-2.99
3.1722090244293213		-1.78		8.84		-3.14
3.2034549713134766		-2.38		8.35		-3.22
3.2347114086151123		-2.66		8.26		-3.10
3.2659640312194824		-2.62		8.74		-3.18
3.2972171306610107		-2.58		8.94		-3.02
3.328504800796509		-2.76		9.19		-3.31
3.3597590923309326		-2.73		9.72		-3.32
3.3910114765167236		-2.56		9.93		-3.36
3.4222285747528076		-2.46		9.83		-3.18
3.4691100120544434		-2.37		9.90		-2.91
3.500364065170288		-2.28		10.06		-2.96
