Time		Ax		Ay		Az
0.03128552436828613		-4.01		8.94		2.43
0.06250452995300293		-3.98		8.94		2.43
0.12504100799560547		-4.01		8.91		2.46
0.14064383506774902		-4.05		8.89		2.40
0.1565537452697754		-4.03		8.92		2.44
0.18752074241638184		-3.99		8.92		2.40
0.21877384185791016		-4.05		8.93		2.40
0.250028133392334		-4.04		8.93		2.39
0.2812826633453369		-4.08		8.92		2.38
0.2969396114349365		-3.98		8.94		2.44
0.32839250564575195		-4.03		8.95		2.44
0.35941267013549805		-4.03		8.91		2.49
0.3907029628753662		-4.01		8.84		2.38
0.42195653915405273		-3.96		8.81		2.27
0.46883606910705566		-4.15		8.97		2.53
0.5000605583190918		-4.16		8.84		2.45
0.5313053131103516		-4.11		8.78		2.44
0.5625934600830078		-4.10		8.72		2.74
0.593808650970459		-3.98		8.68		2.58
0.6250627040863037		-3.97		8.95		2.65
0.6563172340393066		-4.00		8.95		2.72
0.6875689029693604		-4.02		8.97		2.36
0.718822717666626		-3.87		9.28		2.41
0.7500760555267334		-3.83		9.10		2.47
0.7813632488250732		-3.81		8.96		2.48
0.81258225440979		-3.93		9.10		2.41
0.8438355922698975		-3.98		9.06		2.33
0.8750882148742676		-3.66		8.96		2.21
0.9063830375671387		-3.76		8.77		2.03
0.9375958442687988		-4.00		8.93		2.49
0.9688503742218018		-3.73		8.61		2.33
1.0001397132873535		-3.98		8.73		2.52
1.031355857849121		-4.06		9.14		2.41
1.0626099109649658		-3.93		9.25		2.28
1.0938618183135986		-3.56		9.09		2.23
1.1251139640808105		-3.96		8.81		2.11
1.1563692092895508		-3.19		10.11		2.64
1.187622308731079		-3.01		9.57		2.17
1.2188756465911865		-3.12		9.50		1.79
1.2345192432403564		-2.73		9.32		1.86
1.26578950881958		-2.25		9.38		1.95
1.2970161437988281		-2.39		8.62		1.65
1.3282976150512695		-2.18		8.19		1.36
1.3595585823059082		-1.80		10.74		1.20
1.3908038139343262		-1.81		9.70		0.92
1.4220631122589111		-1.85		6.42		-0.72
1.453310251235962		-1.13		9.96		0.59
1.4845359325408936		-0.90		9.83		0.65
1.5314078330993652		-1.03		9.34		0.07
1.5783226490020752		-0.61		10.07		0.50
1.609590768814087		1.08		10.22		-0.93
1.6407968997955322		0.44		9.78		-1.16
1.6720490455627441		0.16		10.83		-0.96
1.687690258026123		0.52		9.06		-3.37
1.7189297676086426		2.97		11.05		-1.39
1.7501816749572754		1.35		11.74		-3.31
1.7814700603485107		1.30		10.65		-2.95
1.8126869201660156		1.98		10.15		-2.71
1.8283154964447021		0.35		14.12		-1.07
1.8595726490020752		3.60		14.68		-4.77
1.8908216953277588		4.62		13.43		-1.72
1.922076940536499		6.54		11.18		-1.79
1.9533283710479736		7.51		11.15		-5.76
1.9845824241638184		7.42		9.79		-5.13
2.0158352851867676		4.33		8.49		-6.02
2.047091007232666		3.58		7.86		-4.88
2.0783767700195312		6.58		9.01		-0.43
2.109596014022827		5.31		7.80		-1.60
2.14084792137146		3.08		8.71		-2.95
2.1877601146698		3.44		7.07		-3.73
2.2190163135528564		4.29		7.89		-4.55
2.250234365463257		3.10		7.45		-4.83
2.265896797180176		5.06		10.64		-6.31
2.3127737045288086		3.65		5.04		-7.49
2.344029664993286		4.41		7.83		-5.64
2.359659194946289		3.84		8.17		-4.77
2.3908743858337402		3.07		8.45		-5.93
2.4221274852752686		3.92		7.78		-5.67
2.453380823135376		3.18		8.03		-3.91
2.4846346378326416		0.47		6.41		-4.68
2.51588773727417		3.63		8.76		-4.98
2.5471765995025635		4.77		6.21		-2.36
2.578428030014038		2.35		7.60		-4.44
2.609684944152832		1.18		8.09		-4.43
2.640902280807495		1.84		9.55		-5.59
2.6721549034118652		0.34		8.50		-5.43
2.687781572341919		0.14		8.65		-5.51
2.7190353870391846		0.75		9.29		-4.73
2.750288724899292		0.21		9.07		-4.61
2.7815749645233154		0.01		8.92		-5.16
2.828420400619507		0.03		8.94		-5.12
2.859712839126587		-0.07		8.87		-5.16
2.8909666538238525		-0.18		9.08		-4.82
2.9221935272216797		-0.53		9.18		-4.92
2.937847852706909		-1.03		8.83		-4.62
2.9690961837768555		-1.35		8.58		-4.39
3.015939950942993		-0.19		11.32		-1.95
3.031567096710205		-1.62		8.60		-3.87
3.062822103500366		-1.39		8.83		-3.34
3.094109058380127		-1.33		8.72		-3.16
3.1253931522369385		-1.77		8.87		-3.26
3.1566193103790283		-1.99		9.44		-3.35
3.219085454940796		-1.93		9.51		-3.43
3.2347514629364014		-1.95		9.03		-3.41
3.26596736907959		-1.68		9.09		-3.31
3.29721999168396		-1.62		9.01		-3.15
3.328507900238037		-1.86		8.76		-3.02
3.359726905822754		-1.99		8.70		-2.98
3.3909788131713867		-2.03		8.92		-3.28
3.422233819961548		-2.00		9.31		-3.46
3.469113826751709		-2.11		9.54		-3.53
