Time		Ax		Ay		Az
0.0		-6.38		6.89		3.66
0.1252303123474121		-6.42		6.80		3.60
0.1404886245727539		-6.45		6.77		3.64
0.1404886245727539		-6.42		6.78		3.66
0.1404886245727539		-6.42		6.76		3.66
0.1563549041748047		-6.44		6.80		3.65
0.18732643127441406		-6.45		6.81		3.54
0.2185807228088379		-6.39		6.80		3.62
0.2501373291015625		-6.44		6.78		3.63
0.281083345413208		-6.37		6.77		3.68
0.3123774528503418		-6.46		6.75		3.73
0.34404969215393066		-6.42		6.77		3.67
0.3748767375946045		-6.40		6.83		3.68
0.4061002731323242		-6.41		6.82		3.57
0.45305824279785156		-6.41		6.82		3.62
0.4998586177825928		-6.42		6.77		3.64
0.5311110019683838		-6.41		6.84		3.62
0.5467357635498047		-6.40		6.84		3.62
0.577998161315918		-6.42		6.81		3.62
0.6092429161071777		-6.47		6.79		3.64
0.6404964923858643		-6.57		7.00		3.64
0.671785831451416		-6.46		7.95		2.74
0.6873776912689209		-6.12		7.77		3.35
0.7186312675476074		-5.06		7.83		3.95
0.7498838901519775		-4.75		7.62		4.18
0.7811365127563477		-4.95		7.94		4.87
0.8124041557312012		-5.63		7.49		4.60
0.8436446189880371		-6.02		7.01		3.64
0.8748965263366699		-5.91		7.36		3.52
0.9061846733093262		-5.43		7.33		3.60
0.9374117851257324		-5.02		7.32		3.80
0.984283447265625		-4.21		7.58		3.77
1.0312156677246094		-3.77		7.76		3.67
1.0624196529388428		-2.67		7.58		4.39
1.0936706066131592		-1.93		7.43		5.45
1.1092979907989502		-2.04		7.22		6.33
1.1405506134033203		-3.22		6.82		5.44
1.1718037128448486		-3.76		7.46		5.35
1.2030940055847168		-3.76		7.40		5.60
1.2343099117279053		-3.62		8.04		5.11
1.2499659061431885		-3.59		8.54		4.62
1.2811987400054932		-4.02		9.19		2.19
1.312441349029541		-4.73		10.72		1.30
1.343695878982544		-4.25		11.54		-0.58
1.3749489784240723		-4.30		9.01		0.51
1.4062020778656006		-4.87		9.60		3.57
1.4374558925628662		-4.71		8.66		3.42
1.4687092304229736		-4.21		7.87		1.67
1.4999635219573975		-5.15		9.76		2.51
1.562469720840454		-6.31		8.97		3.27
1.6249761581420898		-5.90		8.16		2.07
1.6406023502349854		-4.41		8.72		0.75
1.6718573570251465		-4.75		9.21		1.28
1.703108787536621		-5.08		8.47		0.56
1.7343626022338867		-5.78		8.53		0.18
1.7656540870666504		-5.55		9.24		-0.89
1.7812824249267578		-6.07		8.86		-0.06
1.8125004768371582		-4.81		8.29		0.31
1.8437855243682861		-6.83		9.03		-1.80
1.8750016689300537		-5.42		8.06		-1.42
1.9062554836273193		-4.86		8.67		-1.35
1.9219179153442383		-6.58		8.56		-1.63
1.9531362056732178		-6.05		8.34		-1.91
1.9843885898590088		-5.63		8.59		-2.13
2.0156424045562744		-5.41		8.53		-2.48
2.0312705039978027		-6.46		8.59		-1.75
2.0625216960906982		-5.91		8.32		-1.77
2.0937747955322266		-4.92		8.42		-2.29
2.125028610229492		-5.10		8.91		-2.63
2.1562817096710205		-5.41		9.20		-2.19
2.1875357627868652		-6.34		9.70		-2.65
2.2187862396240234		-5.71		9.47		-4.32
2.250042676925659		-4.54		9.01		-4.22
2.2969653606414795		-2.69		10.45		-5.00
2.3282084465026855		-4.60		13.43		-4.89
2.3594284057617188		-4.82		12.38		-5.13
2.390681743621826		-2.18		10.18		-3.73
2.4063446521759033		1.21		10.83		-2.66
2.437563896179199		0.75		10.67		-1.89
2.4688162803649902		-1.39		9.38		-3.10
2.5000686645507812		-1.49		8.66		-3.12
2.5313215255737305		-0.80		7.89		-3.46
2.5625736713409424		-1.38		7.05		-4.40
2.593870162963867		-1.64		6.66		-4.67
2.62508487701416		-2.14		6.63		-3.98
2.6563339233398438		-2.42		7.83		-4.23
2.687588691711426		-2.75		8.19		-4.09
2.718843936920166		-2.08		8.61		-4.11
2.7500946521759033		-1.75		8.18		-4.62
2.781355381011963		-1.89		7.69		-4.50
2.8282623291015625		-2.17		7.56		-4.18
2.8594813346862793		-1.99		7.87		-4.27
2.8907341957092285		-2.02		7.81		-4.13
2.9219884872436523		-2.19		8.15		-3.87
2.953279972076416		-2.49		8.20		-3.84
2.984528064727783		-2.63		8.54		-4.09
3.015786647796631		-2.64		9.10		-3.90
3.047048568725586		-2.53		9.39		-3.65
3.0782549381256104		-2.24		9.62		-3.63
3.1095075607299805		-1.73		10.01		-3.46
3.140761137008667		-1.49		10.12		-3.35
3.1720144748687744		-1.75		9.81		-3.30
3.2032687664031982		-1.87		9.69		-3.25
3.2345221042633057		-2.01		9.27		-3.27
3.265774726867676		-2.00		9.20		-3.44
3.2970314025878906		-1.94		9.27		-3.55
3.3126559257507324		-1.89		9.24		-3.37
3.359534740447998		-2.04		9.42		-3.13
3.3907876014709473		-1.96		9.36		-3.12
3.4220409393310547		-1.85		9.57		-3.14
3.4689548015594482		-1.78		9.59		-2.94
3.484558582305908		-1.86		9.34		-2.78
3.5158004760742188		-1.99		9.09		-2.77
3.5470545291900635		-2.05		9.21		-2.89
3.593935489654541		-2.10		9.26		-2.94
3.640855312347412		-2.18		9.24		-2.88
3.6720685958862305		-2.20		9.23		-2.89
3.7033591270446777		-2.20		9.43		-2.82
3.718981981277466		-2.16		9.65		-2.74
3.7502384185791016		-2.12		9.83		-2.70
3.7814884185791016		-2.04		9.92		-2.67
