Time		Ax		Ay		Az
0.06264090538024902		-5.75		6.04		5.58
0.07786250114440918		-5.78		6.01		5.52
0.09345293045043945		-5.78		6.07		5.49
0.09345293045043945		-5.81		6.02		5.50
0.12474465370178223		-5.77		6.06		5.56
0.1559600830078125		-5.73		6.06		5.51
0.17158102989196777		-5.77		6.05		5.56
0.20323610305786133		-5.81		5.94		5.54
0.23426079750061035		-5.82		6.02		5.51
0.28100132942199707		-5.79		6.02		5.49
0.2968783378601074		-5.80		6.09		5.51
0.328113317489624		-5.78		5.97		5.55
0.3593733310699463		-5.73		6.05		5.59
0.40597963333129883		-5.79		6.01		5.60
0.4528622627258301		-5.81		6.00		5.56
0.48411130905151367		-5.77		6.01		5.41
0.5154030323028564		-5.83		6.04		5.38
0.5466203689575195		-5.70		6.09		5.54
0.5622451305389404		-5.72		6.16		5.57
0.5934998989105225		-5.75		6.08		5.52
0.6403894424438477		-5.56		6.27		5.70
0.6560053825378418		-5.72		6.14		5.59
0.6872603893280029		-5.91		6.14		5.38
0.7341747283935547		-6.03		6.29		5.15
0.7654314041137695		-5.68		6.35		5.25
0.796644926071167		-6.01		6.51		5.03
0.8278999328613281		-6.27		6.25		4.66
0.8435244560241699		-6.30		6.41		4.31
0.8747785091400146		-6.15		6.50		4.38
0.9060332775115967		-5.71		6.83		4.75
0.9372851848602295		-5.78		7.07		4.58
0.9685382843017578		-6.51		6.71		3.62
0.9997909069061279		-6.32		6.81		3.62
1.0310842990875244		-5.90		7.42		3.79
1.0622994899749756		-6.18		7.36		3.05
1.0935533046722412		-6.15		7.24		2.69
1.1091792583465576		-5.42		7.44		3.20
1.1404328346252441		-5.57		8.09		2.77
1.1716961860656738		-6.07		7.59		2.27
1.2029380798339844		-5.60		7.65		2.60
1.234227180480957		-5.24		8.40		2.47
1.2654826641082764		-4.89		8.50		1.86
1.2967381477355957		-5.17		8.58		1.72
1.3279640674591064		-4.85		8.89		1.42
1.3748345375061035		-4.28		9.08		0.99
1.4061243534088135		-4.05		8.99		0.37
1.4373393058776855		-3.93		9.14		-0.41
1.4685907363891602		-3.14		9.34		-0.12
1.5310969352722168		-3.36		9.24		-0.26
1.593644618988037		-3.45		9.38		-1.06
1.6092305183410645		-2.91		10.00		-0.37
1.6404995918273926		-2.42		9.36		1.24
1.6717381477355957		-2.51		10.39		-1.06
1.7030308246612549		-2.30		10.72		-2.65
1.7342801094055176		-1.48		10.60		-1.44
1.7655370235443115		-1.74		9.44		-1.24
1.7967536449432373		-1.56		9.13		-2.34
1.812378168106079		-2.35		9.69		-2.73
1.84367036819458		-1.38		9.80		-2.81
1.874885082244873		-1.45		9.62		-2.39
1.9061369895935059		-0.53		9.69		-2.01
1.9217779636383057		-1.65		9.65		-3.27
1.9530558586120605		-2.71		10.14		-2.55
1.9843063354492188		-0.46		10.05		-3.83
2.0155625343322754		0.41		10.15		-3.21
2.046778678894043		1.36		11.99		-4.65
2.0780692100524902		0.81		9.48		-3.77
2.109285354614258		-4.43		5.43		-0.27
2.1405763626098633		-1.91		9.64		-1.56
2.156172513961792		4.40		10.53		-5.09
2.187419891357422		0.69		9.61		-5.41
2.2187135219573975		-0.09		10.88		-4.51
2.249959945678711		1.59		11.66		-3.94
2.281219005584717		-1.36		10.24		-1.07
2.312466621398926		5.06		7.72		-1.80
2.3437228202819824		3.64		8.82		-1.69
2.374976396560669		2.90		8.38		-6.15
2.406191825866699		2.42		10.37		-8.33
2.4374444484710693		1.38		9.59		-9.66
2.468698263168335		5.16		8.90		-8.10
2.4999866485595703		3.29		8.69		-6.29
2.5312423706054688		-0.07		8.12		-4.57
2.562495708465576		1.48		9.04		-4.48
2.593750476837158		1.55		9.09		-4.13
2.6249632835388184		-0.08		8.90		-5.34
2.6562178134918213		0.42		9.48		-5.34
2.6874730587005615		1.37		9.33		-5.39
2.7187623977661133		0.39		8.98		-4.89
2.7500123977661133		-0.02		9.17		-4.54
2.7812697887420654		-0.07		9.53		-3.84
2.812483072280884		-0.41		9.64		-3.95
2.843738079071045		-0.85		8.99		-3.95
2.874990701675415		-0.63		8.63		-4.49
2.9062445163726807		-0.60		8.99		-4.19
2.937500476837158		-0.83		9.22		-3.72
2.96878981590271		-0.63		9.86		-2.60
3.0000391006469727		-1.56		7.84		-3.41
3.0312955379486084		-0.90		9.54		-4.50
3.062546968460083		-1.48		8.97		-3.45
3.0938057899475098		-1.72		8.40		-3.26
3.125054121017456		-1.34		8.88		-3.58
3.1562702655792236		-1.69		8.24		-2.97
3.1875269412994385		-1.56		8.54		-2.95
3.218775987625122		-1.90		8.17		-3.04
3.2500698566436768		-1.77		8.92		-2.73
3.2969112396240234		-1.97		8.78		-2.52
3.328165054321289		-1.93		9.09		-2.78
3.3437962532043457		-2.01		9.34		-3.10
3.390669345855713		-2.04		9.68		-3.30
3.421926975250244		-1.92		10.03		-3.41
3.4688024520874023		-1.96		9.95		-3.26
3.500101327896118		-1.85		10.24		-3.07
5.375292778015137		-2.01		10.03		-2.80
5.3908820152282715		-2.18		9.83		-2.76
5.4221351146698		-1.96		9.98		-2.49
5.4534502029418945		-1.77		9.90		-2.37
5.4846415519714355		-1.60		10.01		-2.35
5.515931844711304		-1.63		10.09		-2.57
5.547147512435913		-1.63		10.00		-2.61
5.562773942947388		-1.59		9.96		-2.64
5.594030857086182		-1.48		9.91		-2.64
