Time		Ax		Ay		Az
0.031658172607421875		-6.26		6.71		4.15
0.06276512145996094		-6.22		6.64		4.16
0.18797659873962402		-6.22		6.65		4.15
0.20314526557922363		-6.24		6.65		4.12
0.21877098083496094		-6.29		6.70		4.07
0.21877098083496094		-6.24		6.74		4.18
0.23439621925354004		-6.18		6.72		4.21
0.25004053115844727		-6.21		6.74		4.04
0.2656688690185547		-6.23		6.76		3.97
0.29707932472229004		-6.21		6.70		4.11
0.32834935188293457		-6.23		6.74		4.10
0.37503623962402344		-6.26		6.68		4.06
0.3909773826599121		-6.27		6.65		4.12
0.4375462532043457		-6.30		6.62		4.09
0.48445749282836914		-6.32		6.66		4.11
0.5157101154327393		-6.22		6.66		4.09
0.5469276905059814		-6.25		6.64		3.97
0.578178882598877		-6.27		6.78		3.77
0.609468936920166		-6.40		6.62		3.15
0.6407203674316406		-6.12		6.60		3.92
0.6719374656677246		-5.64		7.07		4.38
0.6875991821289062		-5.65		6.27		5.35
0.7188527584075928		-4.83		6.74		6.11
0.7500712871551514		-4.71		6.75		6.52
0.7813236713409424		-5.18		6.79		5.12
0.8125803470611572		-5.56		6.37		4.66
0.8594944477081299		-5.96		6.39		4.29
0.890711784362793		-6.58		7.06		4.10
0.9063448905944824		-6.19		6.45		3.18
0.9375910758972168		-5.26		6.71		5.11
0.9688448905944824		-5.41		7.97		4.54
1.000096321105957		-5.05		6.97		3.91
1.0313496589660645		-5.56		8.05		3.27
1.0626051425933838		-6.12		7.60		3.01
1.093858003616333		-5.93		7.49		2.86
1.1251120567321777		-6.12		7.64		3.32
1.1563658714294434		-6.00		7.74		2.53
1.1876177787780762		-5.93		8.39		2.50
1.2188715934753418		-5.28		8.54		3.04
1.2501237392425537		-5.95		8.86		2.52
1.265761375427246		-6.45		8.47		0.95
1.3126323223114014		-6.28		8.04		0.42
1.3438847064971924		-6.26		8.51		0.52
1.3595366477966309		-5.68		7.23		-0.42
1.390763521194458		-6.90		8.12		0.27
1.4220154285430908		-6.15		8.88		-0.75
1.4532959461212158		-6.81		8.60		-0.35
1.5001888275146484		-5.82		8.10		-2.42
1.5314042568206787		-5.71		8.54		-2.29
1.5626566410064697		-5.70		8.00		-1.97
1.5782849788665771		-4.42		8.54		-1.92
1.6095383167266846		-3.74		8.09		-2.27
1.6407902240753174		-4.66		8.27		-2.47
1.6720445156097412		-5.64		7.95		-3.12
1.7189579010009766		-5.64		7.53		-3.85
1.7501769065856934		-5.82		7.83		-3.37
1.7814297676086426		-5.71		8.29		-3.48
1.8127188682556152		-5.09		8.44		-3.56
1.8439381122589111		-4.83		8.53		-2.74
1.875190258026123		-4.62		8.81		-3.40
1.9064793586730957		-3.96		8.84		-4.29
1.937697172164917		-2.82		10.22		-4.38
1.9689855575561523		-1.97		11.22		-4.12
2.0002405643463135		-3.07		12.37		-5.79
2.0314571857452393		-3.10		11.21		-7.31
2.0783755779266357		-1.88		10.79		-6.79
2.0939650535583496		-1.16		9.92		-3.42
2.1408791542053223		-1.21		9.26		-1.85
2.1721346378326416		-2.48		9.06		-2.58
2.1877245903015137		-2.28		7.84		-5.75
2.2189996242523193		-2.91		7.02		-7.20
2.2502493858337402		-3.46		8.13		-3.88
2.2971107959747314		-3.45		7.64		-4.18
2.312739849090576		-3.20		7.39		-3.87
2.3439908027648926		-3.27		7.45		-4.39
2.3752434253692627		-3.15		7.77		-4.49
2.4065377712249756		-3.04		7.75		-5.04
2.4377505779266357		-3.02		7.86		-5.01
2.469003677368164		-3.16		8.33		-4.73
2.5002613067626953		-2.94		8.38		-4.82
2.547177314758301		-2.96		8.44		-4.48
2.5783894062042236		-2.74		8.69		-3.72
2.60964298248291		-2.49		8.91		-3.42
2.6408963203430176		-2.75		8.58		-3.06
2.672187089920044		-2.86		8.52		-3.23
2.7034378051757812		-2.78		8.57		-3.38
2.734682559967041		-2.77		8.60		-3.43
2.7815871238708496		-2.75		8.70		-3.60
2.8128297328948975		-2.71		8.56		-3.63
2.8284173011779785		-2.73		8.49		-3.45
2.859670877456665		-2.79		8.59		-3.48
2.890922784805298		-3.02		8.51		-3.61
2.9221768379211426		-3.24		8.59		-3.66
2.937802791595459		-3.28		8.58		-3.57
2.984683036804199		-3.35		8.56		-3.39
3.0159354209899902		-3.44		8.84		-3.25
3.0471885204315186		-3.53		9.08		-3.22
3.078444242477417		-3.45		9.18		-3.33
3.1096975803375244		-3.41		9.18		-3.34
3.140984535217285		-3.58		9.22		-3.47
3.1722025871276855		-3.46		9.26		-3.56
