Ax,Ay,Az,time
-5.03,7.53,6.2,2.666156838
-8.78,6.41,7.88,2.700485038
-5.05,4.67,12.26,2.734813237
-2.1,0.59,14.1,2.769141437
-2.03,4.88,9.17,2.803469637
-3.43,5.84,4.19,2.837797836
-5.64,5.31,3.35,2.872126036
-2.75,6.75,7.23,2.906454235
-3.57,7.47,13.26,2.940782435
-5.05,-2.34,8.18,2.975110635
-4.49,0.09,10.22,3.009438834
-3.47,-0.93,7.21,3.043767034
-4.23,-1.43,5.95,3.078095234
-6.94,1.71,6.77,3.112423433
-6.65,3.24,7.26,3.146751633
-6.4,4.75,7.06,3.181079833
-5.94,5.36,8.02,3.215408032
-5.97,3.78,7.28,3.249736232
-6.22,4.04,7.95,3.284064431
-4.88,2.23,8,3.318392631
-3.91,3.33,8.89,3.352720831
-3.51,2.59,9.12,3.38704903
-4.13,2.15,8.76,3.42137723
-4.01,2.68,8.04,3.45570543
-5.12,2.23,8.73,3.490033629
-4.71,3.47,8.19,3.524361829
-4.59,2.36,8.91,3.558690028
-5.11,2.69,8.08,3.593018228
-3.99,2.93,8.11,3.627346428
-3.95,2.37,8.8,3.661674627
-4.44,2.6,8.94,3.696002827
-4.43,2.92,8.02,3.730331027
-4.58,2.38,8.56,3.764659226
-4.98,2.7,7.96,3.798987426
-2.93,8.91,-2.37,0.414579059
-2.92,8.98,-2.47,0.450114406
-3.08,9.12,-2.21,0.485649754
-3.03,9.29,-2.08,0.521185102
-2.96,9.44,-2.13,0.55672045
-3.06,9.14,-1.88,0.592255798
-2.69,9.06,-2.02,0.627791146
-2.75,8.49,-1.78,0.663326494
-2.54,7.82,-1.53,0.698861841
-2.24,6.67,-1.19,0.734397189
-2.14,5.73,-0.83,0.769932537
-2.1,5.27,-0.52,0.805467885
-2.21,5.3,-0.21,0.841003233
-2.15,5.35,0.05,0.876538581
-2.28,5.27,-0.61,0.912073929
-2.73,6.86,-0.53,0.947609277
-2.99,8.28,-0.29,0.983144624
-3.74,8.63,-1.23,1.018679972
-3.38,8.89,-0.72,1.05421532
-3.15,10.01,0.02,1.089750668
-3.73,10.26,-0.4,1.125286016
-3.47,10.56,0.67,1.160821364
-3.7,11.36,1.12,1.196356712
-2.66,12.29,2.33,1.23189206
-3.18,12.46,2.64,1.267427407
-3,11.25,2.85,1.302962755
-3.15,10.99,2.09,1.338498103
-2.76,11.58,2.43,1.374033451
-3.64,11.45,1.32,1.409568799
-2.69,12.24,4.91,1.445104147
-3.01,12.72,3.49,1.480639495
-2.83,11.69,4.97,1.516174843
-1.28,11.05,0.13,1.55171019
2.02,13.03,-0.67,1.587245538
2,12.29,-2.74,1.622780886
-0.98,12.27,2.5,1.658316234
-3.33,11.31,7.84,1.693851582
-2.03,9.46,7.26,1.72938693
-1,8.41,4.45,1.764922278
-1.26,7.88,4.03,1.800457626
-1.48,8.58,3.33,1.835992973
-1.95,9.39,6.14,1.871528321
-0.44,9.37,2.39,1.907063669
-2.66,9.23,4.46,1.942599017
-3.25,9.45,5.78,1.978134365
-2.05,8.93,4.73,2.013669713
-2.35,8.4,5.01,2.049205061
-3,9.03,4.21,2.084740409
-2.61,8.26,4.35,2.120275756
-2.39,8.17,3.83,2.155811104
-3.98,9.42,4.5,2.191346452
-2.86,8.29,3.94,2.2268818
-2.58,8.59,4.35,2.262417148
-3.87,8.81,4.04,2.297952496
-4.85,7.75,3.73,2.333487844
-3.92,8.83,4.66,2.369023192
-2.95,8.07,3.44,2.404558539
-3.84,8.07,3.59,2.440093887
-3.3,7.78,2.23,2.475629235
-4.36,7.87,4.49,2.511164583
-4.32,7.48,3.61,2.546699931
-5.54,7.91,4.36,2.582235279
-4.75,7.28,3.43,2.617770627
-4.38,6.23,1.31,2.653305974
-4.86,6.83,3.98,2.688841322
-4.29,7.1,5.01,2.72437667
-3.88,6.8,5.36,2.759912018
-5.5,6.41,5.57,2.795447366
-3.22,5.76,2.97,2.830982714
-5.77,6.04,5.09,2.866518062
-6.14,5.96,4.38,2.90205341
-5.25,7.22,7.42,2.937588757
