		Ax		Ay		Az
0.0203092098236084		-2.39		9.34		-3.32
0.058573246002197266		-2.36		9.32		-3.21
0.058573246002197266		-2.50		9.35		-3.32
0.18349337577819824		-2.47		9.39		-3.41
0.19884634017944336		-2.47		9.42		-3.37
0.2144758701324463		-2.44		9.36		-3.36
0.2301025390625		-2.38		9.39		-3.30
0.24572062492370605		-2.40		9.40		-3.35
0.27693939208984375		-2.35		9.31		-3.34
0.29297828674316406		-2.38		9.33		-3.30
0.3238179683685303		-2.29		9.39		-3.28
0.3553171157836914		-2.32		9.33		-3.40
0.4019491672515869		-2.24		9.41		-3.44
0.44882917404174805		-2.29		9.41		-3.33
0.48008251190185547		-2.27		9.31		-3.31
0.5113382339477539		-2.29		9.29		-3.15
0.5426318645477295		-2.22		9.34		-3.15
0.5738871097564697		-2.15		9.29		-3.09
0.6050963401794434		-2.09		9.56		-3.04
0.6363494396209717		-1.97		9.44		-3.15
0.6832654476165771		-1.98		8.98		-3.32
0.7144904136657715		-1.77		9.00		-3.37
0.7301449775695801		-1.24		8.96		-2.90
0.7613639831542969		-0.84		8.43		-2.71
0.7926602363586426		-0.75		7.78		-2.99
0.8238692283630371		-0.60		7.16		-3.01
0.8551414012908936		-0.41		6.77		-2.73
0.8863756656646729		0.07		6.23		-2.04
0.933255672454834		0.12		6.63		-1.74
0.9645082950592041		0.14		7.05		-2.65
0.9957618713378906		0.39		7.18		-2.73
1.0381817817687988		0.37		7.32		-2.72
1.0694727897644043		0.57		7.70		-2.49
1.0850670337677002		1.37		8.58		-2.29
1.11631441116333		1.13		9.16		-2.60
1.1476061344146729		0.99		9.82		-3.03
1.1788573265075684		1.48		10.21		-2.79
1.1944923400878906		2.02		9.22		-1.79
1.2257423400878906		1.87		10.76		-2.80
1.2569546699523926		1.32		10.92		-2.96
1.2882084846496582		1.88		9.84		-0.61
1.3194620609283447		2.85		8.84		0.09
1.3507530689239502		2.43		9.19		0.14
1.3820042610168457		2.71		10.14		0.83
1.4132587909698486		3.10		9.18		1.14
1.444474220275879		2.88		10.51		0.31
1.4757599830627441		2.61		11.75		-0.23
1.5070240497589111		3.42		12.55		1.64
1.569488286972046		2.45		12.42		1.35
1.6163690090179443		3.57		12.42		2.37
1.6476213932037354		4.52		11.98		4.13
1.678910493850708		3.41		11.89		4.14
1.710137128829956		2.70		10.43		2.47
1.7257664203643799		1.43		9.59		2.03
1.757007122039795		1.57		11.06		1.21
1.7882609367370605		0.58		10.03		1.44
1.8195455074310303		-0.12		8.42		0.80
1.835174322128296		-0.77		6.92		-3.00
1.8663966655731201		-1.70		6.31		-2.45
1.8976850509643555		-1.47		7.65		-5.08
1.9289021492004395		4.79		16.76		13.56
1.944533109664917		2.90		9.22		-3.69
1.975780963897705		0.70		16.02		2.96
2.007033586502075		-4.34		14.60		2.54
2.033372163772583		-4.55		16.49		0.85
2.064663887023926		1.84		12.46		-3.50
2.095919370651245		0.58		10.17		0.35
2.1271746158599854		0.15		10.75		-1.30
2.1583850383758545		1.83		10.36		-1.66
2.18963885307312		-2.93		9.87		2.42
2.2208919525146484		0.22		10.70		-1.89
2.252182722091675		0.18		10.17		-1.51
2.283398151397705		-2.13		10.37		-1.29
2.314687728881836		0.28		9.70		-6.60
2.3459460735321045		-2.36		10.57		2.36
2.3772122859954834		-0.94		10.25		-2.86
2.4084115028381348		0.50		10.11		-4.13
2.439666509628296		-2.78		1.70		4.87
2.4709575176239014		-0.12		9.92		-7.57
2.486581563949585		0.77		9.76		-3.53
2.5178377628326416		-1.80		8.66		-5.30
2.5647151470184326		-2.06		9.49		-4.81
2.595968008041382		-0.48		9.49		-3.88
2.627225637435913		-4.81		10.20		-5.90
2.6584384441375732		-1.33		8.16		-10.88
2.689692497253418		-4.85		6.08		-3.38
2.720944881439209		-7.22		8.54		0.55
2.7521984577178955		-4.60		8.23		-3.21
2.783451795578003		-4.60		7.61		-1.60
2.814741611480713		-6.11		6.86		-4.63
2.8616209030151367		-5.94		5.64		-7.52
2.8928415775299072		-5.61		6.81		0.54
2.9240920543670654		-9.12		7.66		0.45
2.9553470611572266		-7.75		5.26		-3.77
2.9709720611572266		-7.50		5.77		-4.96
3.0022246837615967		-7.62		5.71		-6.12
3.029416799545288		-7.74		3.62		-3.64
3.0607211589813232		-9.35		4.81		-1.23
3.091923952102661		-9.24		4.59		-1.88
3.1231765747070312		-9.29		2.96		-2.87
3.154430389404297		-9.18		2.74		-1.07
3.1857187747955322		-9.07		2.01		-1.60
3.23260235786438		-9.93		2.61		-1.83
3.26385235786438		-9.07		2.87		-1.76
3.29510760307312		-8.53		2.22		-1.22
3.3263237476348877		-9.05		3.04		4.04
3.357577085494995		-10.60		3.24		1.93
3.3888297080993652		-10.48		2.70		-1.64
3.42012095451355		-7.65		2.13		3.32
3.451338052749634		-7.96		2.59		6.91
3.4982523918151855		-8.85		2.28		2.60
3.529470205307007		-8.89		0.87		-4.38
3.560917854309082		-6.09		1.57		4.13
3.5763673782348633		-7.88		2.85		5.19
3.607635974884033		-11.29		5.29		4.11
3.6544833183288574		-13.57		2.22		-1.82
