		Ax		Ay		Az
0.031072139739990234		-2.24		9.29		-3.48
0.0935819149017334		-2.23		9.27		-3.52
0.10920929908752441		-2.24		9.34		-3.47
0.10920929908752441		-2.33		9.35		-3.49
0.15631628036499023		-2.32		9.34		-3.50
0.17211127281188965		-2.28		9.38		-3.38
0.20304536819458008		-2.26		9.47		-3.49
0.23417878150939941		-2.33		9.25		-3.41
0.25005078315734863		-2.30		9.33		-3.37
0.2966899871826172		-2.28		9.34		-3.41
0.328200101852417		-2.23		9.46		-3.33
0.3594484329223633		-2.14		9.45		-3.39
0.3905029296875		-2.15		9.29		-3.51
0.4436485767364502		-2.00		9.27		-3.56
0.46430087089538574		-1.88		9.19		-3.52
0.5111804008483887		-1.72		8.92		-3.44
0.5424020290374756		-1.00		8.81		-3.28
0.5580604076385498		-0.76		8.62		-2.71
0.5892853736877441		-0.61		8.66		-3.07
0.6205461025238037		-0.34		8.65		-3.46
0.6517913341522217		-0.30		8.40		-3.08
0.6830415725708008		-0.15		7.80		-2.88
0.7143208980560303		0.04		7.21		-2.72
0.7455480098724365		0.20		7.04		-2.25
0.7768018245697021		-0.31		6.99		-2.22
0.8237776756286621		-0.04		6.75		-2.19
0.8549363613128662		-0.02		5.76		-1.47
0.886225700378418		-0.51		5.81		-1.57
0.9174809455871582		-0.15		7.51		-1.98
0.9486963748931885		1.01		7.27		-2.48
0.9799866676330566		0.90		7.27		-1.82
1.011204481124878		0.82		8.65		-2.38
1.0424549579620361		1.64		9.21		-1.36
1.0737090110778809		2.33		8.25		-0.48
1.0893383026123047		2.19		9.49		-1.87
1.1518809795379639		2.71		11.08		-0.55
1.1674723625183105		3.72		10.40		0.46
1.1987595558166504		3.61		10.57		-0.92
1.2300140857696533		4.06		12.77		-1.99
1.2612285614013672		4.38		12.89		-0.27
1.2925212383270264		3.34		11.63		1.63
1.3237779140472412		1.58		12.23		0.39
1.3549911975860596		0.98		13.46		-0.58
1.3862826824188232		-0.05		12.45		0.83
1.4174950122833252		0.06		12.34		2.24
1.451242208480835		0.03		12.22		3.08
1.4750778675079346		1.20		11.79		2.73
1.53757643699646		-2.43		10.78		0.65
1.5688281059265137		-4.78		6.08		-2.87
1.600080966949463		5.05		9.45		-0.68
1.6313340663909912		8.24		14.03		-2.70
1.662588119506836		-2.99		12.17		-2.14
1.693842887878418		-0.51		18.38		5.54
1.7095048427581787		-4.16		13.76		2.32
1.7407567501068115		-0.24		12.63		-5.75
1.7720105648040771		0.91		10.72		-1.49
1.7876412868499756		-0.34		11.76		-2.29
1.8188536167144775		-1.52		9.63		0.83
1.8501105308532715		-0.97		9.87		-3.37
1.8813607692718506		-2.29		11.02		-1.87
1.9126174449920654		-1.37		8.82		-2.84
1.9438674449920654		-2.71		9.90		-1.84
1.9751200675964355		1.58		8.97		-5.14
2.0063743591308594		-0.64		9.60		-2.86
2.0376648902893066		-1.82		10.35		-3.57
2.068880081176758		-2.14		8.80		-2.54
2.1001334190368652		-2.16		10.62		-5.36
