		Ax		Ay		Az
0.01605057716369629		-2.56		9.36		-3.40
0.07813072204589844		-2.58		9.25		-3.40
0.09380030632019043		-2.56		9.28		-3.31
0.12530779838562012		-2.53		9.21		-3.32
0.15651273727416992		-2.46		9.30		-3.39
0.18779683113098145		-2.48		9.22		-3.49
0.21876311302185059		-2.56		9.35		-3.55
0.2500176429748535		-2.67		9.29		-3.38
0.28130316734313965		-2.69		9.33		-3.27
0.32818150520324707		-2.56		9.67		-3.24
0.34381532669067383		-2.37		9.43		-3.34
0.3750326633453369		-2.48		9.33		-3.46
0.40628647804260254		-2.42		9.37		-3.63
0.45316147804260254		-2.03		9.41		-3.56
0.48445820808410645		-1.37		8.78		-3.61
0.5156691074371338		-1.02		8.33		-2.94
0.5469582080841064		-0.88		8.51		-3.39
0.578211784362793		-0.44		8.47		-3.83
0.6094279289245605		-0.25		8.50		-3.58
0.6369061470031738		-0.33		8.29		-3.49
0.6837923526763916		-0.37		7.73		-3.13
0.7150402069091797		0.21		6.67		-2.67
0.7306663990020752		0.46		6.69		-2.60
0.7619192600250244		0.60		6.98		-3.09
0.7931725978851318		0.95		7.74		-3.49
0.840054988861084		0.87		8.27		-2.98
0.8556795120239258		0.52		8.35		-3.07
0.8869695663452148		0.03		8.32		-2.70
0.9183142185211182		-0.08		7.95		-2.27
0.9650802612304688		-0.11		8.43		-2.37
0.9806928634643555		0.15		8.96		-1.88
1.0275723934173584		0.72		8.99		-1.37
1.0432002544403076		0.43		8.60		-1.44
1.0744531154632568		0.64		9.27		-1.74
1.1057062149047852		1.74		9.36		-2.27
1.1369597911834717		1.44		8.21		-0.94
1.1682517528533936		1.17		7.63		-1.18
1.1994669437408447		2.65		10.48		0.61
1.2307195663452148		4.02		8.56		-0.02
1.2619726657867432		2.63		10.01		-1.61
1.293227195739746		0.92		10.95		-2.77
1.324479579925537		0.81		11.83		-1.27
1.3557322025299072		2.06		12.81		0.41
1.386986255645752		2.86		12.97		1.97
1.4182405471801758		2.09		11.65		2.05
1.4494919776916504		0.79		11.34		1.89
1.4651196002960205		1.79		13.23		2.03
1.5119991302490234		0.80		11.34		0.96
1.5588788986206055		-0.62		10.59		-0.49
1.590132713317871		-0.63		9.90		-5.52
1.632033348083496		3.84		15.01		-0.99
1.6476616859436035		1.26		10.99		-3.19
1.6789133548736572		-5.78		10.32		-1.19
1.7101671695709229		-0.87		15.66		0.63
1.7414567470550537		0.16		13.50		0.07
1.7570478916168213		1.98		13.78		-0.99
1.7883400917053223		-1.42		10.34		-1.23
1.8195950984954834		-0.32		12.06		-1.28
1.8508477210998535		0.56		9.49		-0.76
1.8820991516113281		-0.77		9.24		-2.45
1.913313627243042		-2.48		10.44		-0.66
1.9445669651031494		0.50		10.23		-2.21
1.9914827346801758		0.18		10.33		-0.63
2.0071117877960205		0.00		9.73		-3.13
2.038362741470337		-1.58		9.44		-0.55
2.085242986679077		-1.02		10.71		-1.68
2.100893259048462		0.91		9.02		-7.12
2.1477560997009277		-1.77		10.39		-4.51
2.1633405685424805		-1.66		11.12		-2.18
2.194622278213501		2.51		8.79		-0.79
2.225846767425537		-1.69		8.78		-6.55
2.2727625370025635		-1.53		11.61		-1.00
2.303980588912964		-2.85		11.01		-6.58
2.3196067810058594		-4.28		5.74		-6.58
2.3664886951446533		4.27		8.33		1.46
2.3821136951446533		-3.80		10.49		-7.81
2.4289932250976562		-0.69		10.44		-9.23
2.4602460861206055		-0.71		8.39		-11.10
2.491501569747925		-3.03		6.06		-7.17
2.522753953933716		-4.20		5.62		-5.47
2.554041862487793		-3.54		7.00		-6.24
2.58526349067688		-5.50		6.89		-8.85
2.623699903488159		-6.07		7.06		-4.55
2.6483848094940186		-5.95		5.03		-5.94
2.6796340942382812		-6.14		4.73		-7.96
2.7108874320983887		-5.57		4.42		-9.87
2.742141008377075		-6.44		4.91		-9.75
2.773430824279785		-6.50		4.03		-5.29
2.804683208465576		-5.33		2.97		-1.75
2.8359005451202393		-5.82		0.70		-2.86
2.867154836654663		-7.24		1.89		3.10
2.9140522480010986		-6.15		4.13		3.16
2.9296653270721436		-7.64		2.12		-0.54
2.960914373397827		-9.58		0.30		-1.48
2.9921669960021973		-9.84		0.84		2.85
3.023455858230591		-8.02		1.40		3.19
3.0546741485595703		-8.06		-0.20		1.16
3.0859341621398926		-10.23		-1.48		3.08
3.117180347442627		-8.43		0.26		3.78
3.1484341621398926		-7.68		-0.11		3.12
3.1797287464141846		-10.63		-0.72		3.41
3.2109408378601074		-10.72		0.51		2.59
3.242194175720215		-12.37		1.22		2.47
3.273447275161743		-15.33		1.49		1.10
3.3047003746032715		-13.08		0.85		1.20
3.3359901905059814		-8.88		0.25		2.36
3.36726975440979		-7.78		0.24		3.23
3.3984601497650146		-7.68		0.85		3.93
3.429713010787964		-8.91		0.49		3.00
3.4609668254852295		-11.11		-0.49		1.73
3.4922220706939697		-11.34		1.08		2.69
3.539139986038208		-9.68		0.55		3.31
3.5703532695770264		-8.74		0.25		3.60
3.6016454696655273		-8.55		1.16		4.19
3.6284844875335693		-9.12		1.70		4.17
3.659738540649414		-9.46		1.33		3.84
3.691028118133545		-9.25		1.10		4.10
3.722247362136841		-9.08		1.10		3.68
3.753498077392578		-9.13		0.86		3.45
3.7847869396209717		-9.21		0.66		3.62
3.816006898880005		-9.43		0.72		3.63
3.831631660461426		-9.32		0.75		3.46
3.862884759902954		-9.18		0.76		3.41
3.8941376209259033		-9.04		0.72		3.52
3.9253907203674316		-9.11		0.90		3.84
3.9566445350646973		-9.19		0.88		3.72
3.987898349761963		-9.17		0.91		3.83
4.019151449203491		-9.18		1.07		3.92
4.0504114627838135		-9.22		0.97		3.75
4.081659555435181		-9.34		0.93		3.54
4.097285270690918		-9.25		0.86		3.40
