		Ax		Ay		Az
0.031198740005493164		-2.31		9.22		-3.68
0.04683065414428711		-2.30		9.21		-3.61
0.06284666061401367		-2.34		9.19		-3.71
0.09418177604675293		-2.38		9.27		-3.67
0.21906518936157227		-2.35		9.29		-3.65
0.23435544967651367		-2.39		9.23		-3.75
0.24997353553771973		-2.37		9.29		-3.80
0.24997353553771973		-2.25		9.34		-3.75
0.26560401916503906		-2.32		9.22		-3.66
0.2815568447113037		-2.27		9.21		-3.70
0.312824010848999		-2.18		9.24		-3.70
0.3437314033508301		-2.14		9.25		-3.70
0.37528109550476074		-2.05		9.27		-3.67
0.43749046325683594		-1.99		9.42		-3.76
0.4687459468841553		-1.70		9.10		-3.87
0.4999973773956299		-1.32		8.58		-3.70
0.5312862396240234		-0.84		8.37		-2.71
0.5625057220458984		-0.52		9.29		-2.61
0.5937919616699219		-0.82		9.22		-3.68
0.6250100135803223		-0.59		8.72		-3.82
0.6562626361846924		-0.39		7.79		-3.68
0.6875181198120117		-0.52		7.45		-3.09
0.7187693119049072		-0.20		7.23		-3.10
0.7500317096710205		0.32		6.83		-2.25
0.7812950611114502		0.77		6.92		-1.89
0.8125317096710205		0.42		6.91		-1.68
0.8438212871551514		0.49		7.26		-2.23
0.8751006126403809		0.17		8.48		-2.22
0.9219152927398682		0.85		8.82		-2.76
0.937544584274292		0.33		8.18		-2.49
0.9794442653656006		0.37		8.53		-1.55
1.0106570720672607		1.30		8.43		-1.55
1.0419425964355469		1.12		8.04		-0.65
1.0575308799743652		2.07		9.64		-0.14
1.088822364807129		2.08		9.48		-0.09
1.1200776100158691		1.74		8.39		0.25
1.151292324066162		2.19		9.41		1.03
1.182549238204956		2.57		10.53		-0.77
1.213799238204956		2.17		9.48		-0.23
1.2294671535491943		3.67		9.75		1.76
1.2606804370880127		3.70		11.15		1.89
1.2919707298278809		2.07		10.14		0.85
1.3232238292694092		2.83		11.23		2.49
1.3544375896453857		2.40		11.55		0.57
1.3856923580169678		0.34		11.31		1.11
1.4169528484344482		0.73		12.03		-1.24
1.448197603225708		-0.02		11.57		2.05
1.4951202869415283		1.06		12.58		5.47
1.541959524154663		2.31		9.94		1.78
1.5888404846191406		2.37		8.55		-6.52
1.6200928688049316		3.19		12.53		3.53
1.666987419128418		2.09		12.88		-1.90
1.682598352432251		-0.87		11.96		1.01
1.7138535976409912		-0.78		14.42		2.75
1.7451424598693848		-0.25		16.17		2.90
1.7763969898223877		3.15		15.28		-9.99
1.7919840812683105		3.15		10.21		0.48
1.8232753276824951		-2.68		10.17		-0.69
1.8544905185699463		0.37		10.62		-3.24
1.8857450485229492		-2.57		8.46		-0.18
1.90140700340271		-1.84		10.88		-1.87
1.932624340057373		2.56		9.77		-4.01
1.9591643810272217		-2.90		9.91		-0.35
1.990457534790039		-3.11		9.94		-0.41
2.021671772003174		-0.84		10.54		-4.81
2.0372979640960693		0.30		10.42		-3.06
2.0685901641845703		0.19		9.35		-5.45
2.0998055934906006		1.47		10.63		-3.52
2.1310596466064453		0.86		10.10		-4.65
2.177983522415161		-1.42		9.64		-2.95
2.224855899810791		-2.39		10.09		-2.52
2.2561123371124268		-3.30		10.17		-5.94
2.271697759628296		-0.33		6.56		-0.30
2.302992343902588		-8.25		8.23		-6.79
2.3342056274414062		-3.43		9.48		-1.39
2.3655049800872803		-1.20		7.44		-5.85
2.3967552185058594		-8.57		7.81		-2.68
2.428006887435913		-8.73		7.61		1.48
2.4592573642730713		-5.37		7.68		1.12
2.4904708862304688		-6.33		7.78		-6.04
