		Ax		Ay		Az
0.07776331901550293		-2.30		8.98		-3.84
0.0933845043182373		-2.29		9.06		-3.84
0.0933845043182373		-2.45		9.00		-3.67
0.12464070320129395		-2.42		9.15		-3.61
0.15589189529418945		-2.25		9.14		-3.55
0.1871476173400879		-2.23		9.23		-3.50
0.29686760902404785		-2.28		9.31		-3.42
0.31220054626464844		-2.29		9.19		-3.46
0.330674409866333		-2.33		8.94		-3.55
0.33667755126953125		-2.45		8.90		-3.54
0.33974695205688477		-2.45		9.09		-3.48
0.37103915214538574		-2.47		9.30		-3.51
0.4022941589355469		-2.38		9.47		-3.37
0.46480321884155273		-2.39		9.57		-3.30
0.4960155487060547		-2.28		9.64		-3.14
0.52730393409729		-2.25		9.75		-3.15
0.5428929328918457		-2.40		9.50		-3.11
0.5741581916809082		-1.94		9.40		-3.12
0.6054010391235352		-1.50		8.86		-2.83
0.636652946472168		-0.82		8.89		-2.31
0.6679062843322754		-0.47		8.26		-2.84
0.6991596221923828		-0.41		8.46		-3.25
0.7304501533508301		0.00		8.67		-3.24
0.7616686820983887		-0.14		8.84		-3.33
0.7929224967956543		-0.26		8.06		-3.47
0.8241839408874512		-0.07		7.22		-2.12
0.8554677963256836		-0.05		6.80		-1.23
0.9023077487945557		0.29		6.49		-1.32
0.9335594177246094		0.02		7.38		-2.24
0.9648292064666748		0.11		9.54		-3.44
0.9960658550262451		0.29		8.23		-2.86
1.011692762374878		-0.08		7.86		-2.89
1.0429468154907227		-0.38		8.87		-3.30
1.089827299118042		0.51		8.59		-2.65
1.1210803985595703		-0.29		8.63		-1.57
1.1523864269256592		-0.20		9.53		-2.16
1.1835858821868896		1.31		9.55		-1.69
1.2148418426513672		1.28		8.27		-1.15
1.2304682731628418		1.57		8.84		-2.48
1.2617194652557373		2.33		8.86		-2.57
1.293020486831665		2.96		9.99		-1.32
1.3296635150909424		2.13		10.84		-0.32
1.3504178524017334		2.13		11.29		0.77
1.381676435470581		2.66		9.98		0.81
1.4128940105438232		2.78		10.73		0.34
1.4597904682159424		2.96		9.49		-0.64
1.5066571235656738		2.19		9.54		-1.49
1.5535333156585693		3.16		11.46		-2.05
