Time		Ax		Ay		Az
0.06251382827758789		-2.16		9.41		-3.41
0.09396219253540039		-2.22		9.43		-3.46
0.10915374755859375		-2.15		9.47		-3.44
0.12477636337280273		-2.17		9.42		-3.33
0.15619373321533203		-2.04		9.41		-3.19
0.17168211936950684		-2.06		9.47		-3.16
0.20328927040100098		-2.03		9.52		-3.19
0.24979400634765625		-2.09		9.38		-3.17
0.28104519844055176		-2.11		9.34		-3.17
0.3123016357421875		-2.05		9.40		-3.04
0.343552827835083		-2.02		9.33		-2.96
0.3748047351837158		-1.99		9.49		-3.17
0.40606117248535156		-2.08		9.46		-3.17
0.43731260299682617		-1.96		9.57		-3.13
0.48421764373779297		-1.76		9.49		-3.09
0.5154750347137451		-1.52		9.47		-2.98
0.5466930866241455		-1.39		9.22		-3.12
0.5779464244842529		-1.38		9.19		-3.41
0.6091997623443604		-1.05		9.06		-3.49
0.6404910087585449		-1.01		8.87		-3.32
0.6717417240142822		-0.90		9.06		-3.41
0.7029972076416016		-0.64		9.31		-3.32
0.7342476844787598		-0.35		9.27		-3.22
0.7655067443847656		-0.27		9.34		-3.21
0.7967548370361328		-0.42		9.21		-3.48
0.8592298030853271		-0.25		9.35		-3.78
0.890479564666748		-0.14		9.36		-4.10
0.9217333793640137		-0.16		9.08		-4.25
0.9530236721038818		-0.12		9.23		-3.37
0.9842531681060791		0.07		9.45		-2.96
1.0155441761016846		-0.12		9.37		-2.49
1.0467474460601807		0.09		9.14		-3.58
1.0780012607574463		0.80		9.62		-3.26
1.0936670303344727		0.76		9.57		-2.59
1.1248857975006104		0.52		9.79		-2.25
1.1561717987060547		0.58		9.80		-1.66
1.1873869895935059		0.27		10.25		-2.15
1.218674898147583		-0.80		10.49		-3.82
1.234266996383667		-1.39		11.36		-2.60
1.2655320167541504		-0.07		10.86		-1.19
1.2967729568481445		0.71		10.73		0.38
1.3436522483825684		0.18		10.03		-0.09
1.359278678894043		1.02		9.33		-1.78
1.3905341625213623		1.60		9.89		-0.38
1.421821117401123		1.15		10.49		0.08
1.5155904293060303		0.51		9.95		-0.97
1.5624234676361084		-0.20		10.67		-4.46
1.6093413829803467		-1.05		10.80		-3.53
1.6405606269836426		-2.78		10.01		-1.68
1.6718120574951172		-2.70		10.03		-2.17
1.6874382495880127		-1.83		10.25		-1.97
1.718693494796753		-0.66		11.16		-1.48
1.7499802112579346		-1.28		11.71		0.94
1.7811980247497559		-0.67		10.47		-1.32
1.812453269958496		-2.43		10.30		-0.59
1.8280816078186035		-1.25		9.87		-0.84
1.8593323230743408		-3.05		10.00		-0.15
1.89058518409729		-3.14		9.99		0.51
1.9218385219573975		-2.41		9.65		-0.06
1.9374668598175049		-2.64		9.30		0.62
1.968719244003296		-2.35		10.00		0.70
2.0000064373016357		-3.25		9.83		-0.34
2.031224250793457		-3.29		9.36		0.42
2.062518358230591		-2.06		9.64		-0.01
2.0781524181365967		-2.93		9.82		0.38
2.109358787536621		-2.86		8.76		-0.04
2.140613079071045		-2.68		9.98		1.10
2.1718649864196777		-3.94		10.08		-0.47
2.2031564712524414		-3.40		9.55		0.01
2.2187540531158447		-3.42		10.14		1.37
2.2499988079071045		-2.72		8.49		-0.81
2.2812507152557373		-2.60		10.04		0.88
2.3125052452087402		-3.34		9.62		1.14
2.3437588214874268		-4.03		9.42		-1.59
2.359419345855713		-6.67		9.14		-1.08
2.4062652587890625		-1.71		8.70		0.57
2.4219300746917725		-4.13		8.85		1.18
2.453181505203247		-3.22		9.88		1.50
2.484398126602173		-4.66		8.25		-0.66
2.515702247619629		-2.48		9.44		1.31
2.546905517578125		-4.92		8.87		1.42
2.5781631469726562		-6.58		8.09		-0.13
2.6250381469726562		-2.57		11.24		4.25
2.6562912464141846		-5.69		9.93		-0.02
2.687544584274292		-3.17		8.98		-1.64
2.718832015991211		-2.96		9.44		2.76
2.7500505447387695		-6.26		8.81		0.57
2.781309127807617		-4.08		8.35		1.62
2.7969326972961426		-4.02		8.98		4.06
2.828185796737671		-6.17		7.88		0.84
2.859437942504883		-4.87		8.90		2.04
2.890691041946411		-5.07		8.20		2.37
2.9219791889190674		-5.25		8.36		1.51
2.953234910964966		-6.02		7.18		1.50
2.984485149383545		-6.12		9.16		5.83
3.0157060623168945		-6.32		7.30		2.61
3.0469589233398438		-6.76		8.18		3.24
3.078211545944214		-7.14		6.29		2.69
3.1094648838043213		-5.71		7.43		3.94
3.1407551765441895		-6.39		7.12		3.27
3.171971321105957		-6.33		7.28		3.07
3.2032246589660645		-6.10		7.33		3.12
3.2345125675201416		-6.19		7.05		3.12
3.2657411098480225		-6.21		6.78		3.69
3.2969889640808105		-6.20		6.91		4.17
3.328237771987915		-6.62		6.76		3.46
3.3751325607299805		-6.76		6.56		3.76
3.406371593475342		-6.28		6.77		3.73
3.4376585483551025		-5.88		7.17		4.13
3.468916893005371		-5.52		7.07		4.39
3.4845407009124756		-5.31		7.32		4.94
3.51580810546875		-5.94		6.65		4.59
3.5470097064971924		-6.31		6.85		4.15
3.5782673358917236		-5.99		6.98		3.73
3.59389066696167		-5.62		7.32		3.96
3.6251437664031982		-5.89		6.83		3.89
3.6720592975616455		-6.10		6.72		4.16
3.687649965286255		-5.82		7.15		4.23
3.7189037799835205		-5.72		7.26		4.20
3.7501914501190186		-5.78		7.07		4.23
3.7814600467681885		-5.85		6.94		4.20
3.8126635551452637		-5.82		6.96		4.14
3.84391713142395		-5.93		6.99		3.92
3.8751702308654785		-5.88		7.12		4.05
3.9064629077911377		-5.84		6.97		4.06
3.937711477279663		-5.87		6.88		4.09
3.96897029876709		-5.80		6.94		4.21
