Time		Ax		Ay		Az
0.10975050926208496		-2.12		9.56		-3.02
0.12499666213989258		-2.11		9.60		-2.96
0.12499666213989258		-2.08		9.56		-2.98
0.14062285423278809		-2.08		9.51		-2.94
0.15638995170593262		-2.09		9.46		-2.98
0.1875455379486084		-2.08		9.51		-3.05
0.21878886222839355		-2.15		9.58		-3.03
0.2500143051147461		-2.10		9.51		-3.01
0.2812628746032715		-2.12		9.48		-3.05
0.3125169277191162		-2.08		9.52		-3.03
0.34377264976501465		-2.05		9.50		-2.91
0.37534308433532715		-2.07		9.47		-2.93
0.4066143035888672		-2.07		9.49		-3.03
0.43787693977355957		-2.04		9.48		-3.02
0.5000820159912109		-2.01		9.54		-2.99
0.5312907695770264		-2.02		9.50		-2.99
0.5625536441802979		-1.98		9.55		-2.98
0.5782105922698975		-1.93		9.59		-3.08
0.6250495910644531		-1.92		9.57		-3.19
0.6563341617584229		-1.84		9.45		-3.14
0.6875545978546143		-1.78		9.33		-3.05
0.7188076972961426		-1.77		9.44		-3.23
0.7344365119934082		-1.74		9.42		-3.34
0.7813270092010498		-1.72		9.51		-3.27
0.8125705718994141		-1.50		9.43		-3.36
0.8438549041748047		-0.98		9.21		-3.06
0.8907368183135986		-0.50		9.01		-2.86
0.9219543933868408		-0.46		8.90		-3.13
0.9375810623168945		-0.24		8.89		-3.62
0.968834400177002		0.15		8.53		-3.77
1.0313477516174316		0.09		8.29		-3.97
1.0626308917999268		0.31		8.15		-3.88
1.093885898590088		0.84		8.58		-3.78
1.1251370906829834		1.01		9.16		-4.35
1.1563537120819092		0.77		8.75		-4.42
1.1719820499420166		0.92		8.62		-4.17
1.2032334804534912		1.26		8.92		-3.71
1.2344870567321777		1.68		9.64		-3.02
1.2657461166381836		1.63		9.30		-2.82
1.2969939708709717		1.83		9.34		-3.49
1.3282477855682373		1.44		9.72		-4.33
1.3438749313354492		1.75		9.86		-4.44
1.375126838684082		2.67		8.79		-4.66
1.406414270401001		1.40		9.99		-4.26
1.4376351833343506		1.34		10.15		-4.66
1.4532606601715088		2.35		10.79		-5.68
1.5001399517059326		-0.35		10.29		-2.10
1.5470199584960938		0.73		9.72		-2.84
1.593909740447998		2.45		7.71		-4.31
1.6251540184020996		1.47		8.89		-4.19
1.656407117843628		0.32		10.51		-3.34
1.6876606941223145		3.41		11.74		-0.31
1.718951940536499		-1.11		13.16		-1.11
1.7345435619354248		0.08		11.63		-3.41
1.765794277191162		1.84		8.70		-3.13
1.797048568725586		-1.50		10.51		1.23
1.8283426761627197		-0.71		9.79		-3.63
1.8595530986785889		-0.67		9.22		-2.92
1.8751819133758545		-1.99		10.73		1.64
1.9064714908599854		-2.08		10.47		-3.93
1.93772292137146		-0.55		9.64		1.60
1.968940019607544		-2.37		10.22		-1.76
2.0001933574676514		-2.51		9.26		-0.07
2.0314502716064453		-4.44		9.91		-0.58
2.0470809936523438		-3.16		9.22		-2.72
2.093998670578003		-0.71		10.65		1.36
2.125243663787842		-4.60		10.14		-0.63
2.1877152919769287		-3.92		8.53		0.40
2.218968629837036		-2.83		11.01		2.90
2.2346298694610596		-5.46		8.84		-2.26
2.265897750854492		-2.27		11.16		0.79
2.2971010208129883		-4.18		8.81		0.04
2.3283541202545166		-4.96		9.15		0.29
2.359645128250122		-4.16		8.71		1.43
2.375235080718994		-3.73		8.91		1.84
2.4064862728118896		-4.89		8.52		1.35
2.437776803970337		-5.43		8.31		1.53
2.468994379043579		-5.03		8.89		2.21
2.5002474784851074		-5.24		8.73		2.20
2.5314996242523193		-4.07		7.47		1.57
2.5471320152282715		-5.64		7.18		2.24
2.5784153938293457		0.85		9.72		8.06
2.609670639038086		-5.45		7.74		4.36
2.640923500061035		-5.43		8.32		3.62
2.672175884246826		-6.32		7.35		2.83
2.703392744064331		-6.19		6.97		2.59
2.7502732276916504		-5.58		6.74		4.13
2.765934944152832		-5.16		6.40		5.63
2.7971556186676025		-5.47		5.05		6.52
2.8284425735473633		-4.22		5.89		8.53
2.8596956729888916		-6.83		4.72		5.44
2.89094877243042		-5.00		5.79		6.69
2.9221668243408203		-4.19		7.99		6.77
2.9534192085266113		-5.00		7.44		4.72
2.984708070755005		-5.69		7.01		3.75
3.015925407409668		-6.21		6.10		4.60
3.047182083129883		-6.41		5.54		5.82
3.078432083129883		-6.36		5.53		5.94
3.1097216606140137		-5.93		6.02		5.14
3.1253538131713867		-5.17		6.64		5.34
3.172192096710205		-5.19		6.50		6.10
3.2034528255462646		-5.76		6.08		5.61
3.219106674194336		-5.95		6.18		5.15
3.2503252029418945		-5.96		6.14		5.15
3.2816162109375		-5.95		5.97		5.19
3.312832832336426		-5.93		6.06		5.24
3.34411883354187		-5.84		6.24		5.26
3.375338554382324		-5.92		6.21		5.18
3.4066250324249268		-5.98		6.14		5.17
3.4378819465637207		-5.98		6.11		5.31
3.484726905822754		-6.07		6.03		5.12
3.500351667404175		-5.97		6.14		5.20
